0.000,63.397,86.602,
0.000,60.845,84.995,
0.000,48.723,83.551,
0.000,46.594,82.156,
0.000,45.555,80.915,
0.000,44.402,79.540,
0.000,0.000,0.000,
0.000,50.642,82.485,
0.000,48.557,82.188,
0.000,47.510,81.055,
0.000,0.000,0.000,
0.000,43.389,78.331,
0.000,54.867,81.604,
0.000,53.226,81.131,
0.000,49.503,79.779,
0.000,48.544,78.669,
0.000,0.000,0.000,
0.000,47.035,68.780,
0.000,53.677,80.430,
0.000,51.828,80.951,
0.000,51.456,79.469,
0.000,49.497,77.103,
0.000,0.000,0.000,
0.000,48.088,69.854,
0.000,55.045,75.569,
0.000,0.000,0.000,
0.000,52.763,77.084,
0.000,51.548,75.843,
0.000,49.492,73.432,
0.000,49.154,70.942,
0.000,56.199,76.723,
0.000,53.848,74.372,
0.000,52.727,73.667,
0.000,52.763,74.005,
0.000,51.414,72.941,
0.000,50.192,71.732,
