0.000,62.732,86.358,95.007,98.172
0.000,62.730,86.358,95.007,98.172
0.000,62.710,86.358,95.007,98.172
0.000,61.395,85.058,93.707,96.872
0.000,60.084,83.770,92.418,95.584
0.000,58.682,82.491,91.140,94.305
0.000,57.313,81.224,89.873,93.038
0.000,55.971,79.969,88.617,91.783
0.000,54.655,78.726,87.375,90.540
0.000,53.353,77.497,86.145,89.311
0.000,51.484,76.281,84.930,88.095
0.000,-1.969,75.079,83.728,86.893
0.000,-2.536,73.892,82.541,85.707
0.000,-2.536,72.721,81.370,84.536
0.000,-2.536,-3.464,80.216,83.382
0.000,-2.536,-3.464,79.068,82.242
0.000,-2.536,-3.464,-1.116,81.117
0.000,-2.536,-3.464,-1.127,80.006
0.000,62.730,86.358,95.007,98.172
0.000,62.712,86.358,95.007,98.172
0.000,62.548,86.358,95.007,98.172
0.000,61.244,85.032,93.681,96.846
0.000,59.843,83.704,92.352,95.518
0.000,57.563,82.379,91.028,94.193
0.000,56.315,81.074,89.722,92.888
0.000,55.063,79.787,88.436,91.601
0.000,53.822,78.520,87.168,90.334
0.000,52.495,77.271,85.920,89.085
0.000,45.861,76.040,84.690,87.855
0.000,2.666,74.827,83.478,86.644
0.000,-2.536,73.641,82.293,85.459
0.000,-2.536,72.480,81.132,84.299
0.000,-2.536,-3.464,79.992,83.158
0.000,-2.536,-3.464,78.781,82.024
0.000,-2.536,-3.464,-0.287,80.898
0.000,-2.536,-3.464,-1.036,79.784
0.000,62.730,86.358,95.007,98.172
0.000,62.707,86.358,95.007,98.172
0.000,62.689,86.358,95.007,98.172
0.000,61.024,84.768,93.417,96.582
0.000,58.611,83.245,91.893,95.059
0.000,56.444,81.776,90.424,93.590
0.000,55.196,80.450,89.098,92.264
0.000,53.875,79.155,87.804,90.969
0.000,52.664,77.886,86.536,89.702
0.000,50.498,76.640,85.293,88.459
0.000,41.555,75.415,84.073,87.239
0.000,5.886,74.210,82.873,86.042
0.000,-2.536,73.128,81.790,84.958
0.000,-2.536,72.050,80.710,83.878
0.000,-2.536,-3.464,79.635,82.803
0.000,-2.536,-3.464,77.668,81.600
0.000,-2.536,-3.464,7.357,80.434
0.000,-2.536,-3.464,-0.196,79.298
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.000,57.828,82.129,90.778,93.943
0.000,51.970,80.791,89.440,92.605
0.000,53.806,79.462,88.110,91.276
0.000,53.843,79.123,87.772,90.937
0.000,52.666,77.946,86.596,89.762
0.000,51.310,76.749,85.412,88.578
0.000,48.466,75.563,84.247,87.414
0.000,38.295,74.389,83.098,86.268
0.000,9.253,73.237,81.944,85.137
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.000,-2.536,-3.464,69.573,80.383
0.000,-2.536,-3.464,12.742,79.357
0.000,-2.536,-3.464,1.134,78.316
